Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,2.800000,3.030000,2.770000,2.960000,2.960000,85000
2023-02-28,2.930000,3.057000,2.901000,2.990000,2.990000,48200
2023-03-01,2.990000,3.007000,2.800000,2.800000,2.800000,45900
2023-03-02,2.870000,3.100000,2.760000,2.950000,2.950000,117500
2023-03-03,2.920000,3.050000,2.830000,2.920000,2.920000,45500
2023-03-06,2.920000,3.015000,2.780000,2.850000,2.850000,77100
2023-03-07,2.870000,2.940000,2.660000,2.660000,2.660000,78300
2023-03-08,2.810000,2.810000,2.480000,2.520000,2.520000,67900
2023-03-09,2.470000,2.550000,2.260000,2.360000,2.360000,60300
2023-03-10,2.380000,2.386000,2.110000,2.140000,2.140000,45100
2023-03-13,2.130000,2.350000,2.130000,2.250000,2.250000,37700
2023-03-14,2.350000,3.130000,2.250000,3.070000,3.070000,568500
2023-03-15,3.000000,3.110000,2.763000,2.910000,2.910000,171400
2023-03-16,2.830000,5.780000,2.800000,5.750000,5.750000,7690100
2023-03-17,6.240000,7.650000,5.080000,6.200000,6.200000,10895300
2023-03-20,5.670000,7.170000,5.650000,6.910000,6.910000,1440600
2023-03-21,7.490000,8.100000,6.295000,6.390000,6.390000,898200
2023-03-22,6.320000,6.950000,6.060000,6.660000,6.660000,234800
2023-03-23,6.640000,7.010000,6.260000,6.460000,6.460000,133600
2023-03-24,6.380000,7.140000,6.290000,6.850000,6.850000,155800
2023-03-27,6.970000,7.090000,6.578000,6.820000,6.820000,123700
2023-03-28,6.690000,7.580000,6.660000,7.450000,7.450000,364800
2023-03-29,7.630000,8.260000,7.520000,8.050000,8.050000,368900
2023-03-30,8.050000,8.975000,7.680000,8.830000,8.830000,242000
2023-03-31,8.830000,8.970000,6.700000,7.270000,7.270000,350700
2023-04-03,7.150000,7.200000,6.219000,6.400000,6.400000,289300
2023-04-04,6.250000,7.105000,6.050000,6.940000,6.940000,169600
2023-04-05,6.760000,7.700000,6.600000,7.600000,7.600000,100100
2023-04-06,7.550000,7.780000,7.350000,7.750000,7.750000,54100
2023-04-10,7.600000,8.090000,7.490000,7.930000,7.930000,67700
2023-04-11,7.930000,8.390000,7.810000,8.200000,8.200000,75900
2023-04-12,8.260000,8.450000,7.900000,8.200000,8.200000,63500
2023-04-13,8.200000,8.380000,7.910000,8.040000,8.040000,71600
2023-04-14,8.280000,10.010000,8.068000,9.590000,9.590000,364900
2023-04-17,9.470000,10.470000,9.050000,10.460000,10.460000,161500
2023-04-18,10.390000,12.000000,10.250000,12.000000,12.000000,173500
2023-04-19,12.040000,13.170000,9.490000,10.070000,10.070000,346000
2023-04-20,10.100000,10.444000,8.000000,8.010000,8.010000,237000
2023-04-21,8.010000,9.300000,8.010000,8.840000,8.840000,145600
2023-04-24,9.280000,10.400000,9.080000,10.170000,10.170000,144900
2023-04-25,10.170000,10.200000,8.500000,9.010000,9.010000,115200
2023-04-26,9.010000,9.885000,7.530000,7.690000,7.690000,152800
2023-04-27,7.650000,7.929000,7.500000,7.710000,7.710000,51400
2023-04-28,7.590000,8.870000,7.590000,8.780000,8.780000,66100
2023-05-01,8.780000,9.100000,8.278000,8.480000,8.480000,33100
2023-05-02,8.330000,8.740000,7.830000,8.020000,8.020000,34700
2023-05-03,8.000000,9.430000,7.910000,8.500000,8.500000,62600
2023-05-04,8.680000,9.023000,8.470000,8.720000,8.720000,37500
2023-05-05,8.870000,10.520000,8.770000,10.510000,10.510000,83200
2023-05-08,10.200000,10.440000,9.490000,10.130000,10.130000,38400
2023-05-09,9.810000,9.970000,8.660000,8.870000,8.870000,72300
2023-05-10,9.790000,10.250000,9.230000,9.310000,9.310000,65700
2023-05-11,9.210000,9.700000,8.930000,9.350000,9.350000,31000
2023-05-12,9.400000,9.850000,9.380000,9.840000,9.840000,33300
2023-05-15,9.580000,10.600000,9.565000,10.500000,10.500000,52300
2023-05-16,10.450000,11.310000,10.120000,10.435000,10.435000,42800
2023-05-17,10.540000,10.970000,10.100000,10.320000,10.320000,29500
2023-05-18,10.390000,10.390000,9.750000,9.960000,9.960000,28100
2023-05-19,10.000000,10.900000,9.924000,10.850000,10.850000,42600
2023-05-22,10.600000,11.470000,10.600000,11.110000,11.110000,57900
2023-05-23,11.000000,11.270000,10.633000,10.910000,10.910000,21300
2023-05-24,10.860000,11.350000,10.584000,11.000000,11.000000,34900
2023-05-25,11.300000,11.300000,10.330000,10.410000,10.410000,33300
2023-05-26,10.570000,10.614000,9.805000,9.920000,9.920000,32600
2023-05-30,10.040000,10.320000,8.810000,8.870000,8.870000,73300
2023-05-31,9.150000,9.950000,9.074000,9.470000,9.470000,36900
2023-06-01,9.480000,9.866000,9.375000,9.790000,9.790000,16500
2023-06-02,9.870000,9.870000,9.473000,9.850000,9.850000,21700
2023-06-05,9.570000,9.996000,9.570000,9.690000,9.690000,13800
2023-06-06,9.640000,9.960000,9.490000,9.890000,9.890000,14200
2023-06-07,9.960000,9.990000,9.400000,9.480000,9.480000,18900
2023-06-08,9.430000,9.610000,9.170000,9.320000,9.320000,24200
2023-06-09,9.320000,9.550000,8.730000,8.730000,8.730000,37000
2023-06-12,9.090000,9.320000,8.720000,9.000000,9.000000,14700
2023-06-13,8.820000,9.000000,8.530000,8.650000,8.650000,30600
2023-06-14,8.650000,8.830000,7.910000,7.910000,7.910000,23800
2023-06-15,8.240000,8.240000,7.660000,7.750000,7.750000,23900
2023-06-16,7.510000,7.724000,7.033000,7.440000,7.440000,25100
2023-06-20,7.310000,7.440000,7.132000,7.230000,7.230000,17700
2023-06-21,7.150000,7.700000,7.115000,7.480000,7.480000,33400
2023-06-22,7.510000,8.100000,7.460000,7.850000,7.850000,20000
2023-06-23,7.800000,8.790000,7.470000,8.790000,8.790000,22100
2023-06-26,8.310000,8.439000,7.900000,8.110000,8.110000,12900
2023-06-27,8.250000,8.396000,7.900000,8.150000,8.150000,14400
2023-06-28,8.000000,8.305000,7.670000,7.670000,7.670000,13400
2023-06-29,7.620000,8.220000,7.620000,8.000000,8.000000,35100
2023-06-30,8.020000,8.150000,7.680000,7.840000,7.840000,14100
2023-07-03,7.820000,8.015000,7.804000,7.860000,7.860000,5500
2023-07-05,7.800000,8.000000,7.570000,7.880000,7.880000,14600
2023-07-06,7.700000,7.980000,7.573000,7.660000,7.660000,11300
2023-07-07,7.570000,7.968000,7.570000,7.890000,7.890000,9600
2023-07-10,7.840000,7.840000,7.700000,7.720000,7.720000,5200
2023-07-11,7.900000,7.940000,7.700000,7.900000,7.900000,8300
2023-07-12,7.940000,7.940000,7.730000,7.850000,7.850000,14600
2023-07-13,7.810000,8.000000,7.696000,7.950000,7.950000,18700
2023-07-14,7.850000,7.950000,7.490000,7.670000,7.670000,20400
2023-07-17,7.610000,7.920000,7.560000,7.770000,7.770000,7400
2023-07-18,7.751000,7.770000,7.470000,7.750000,7.750000,8700
2023-07-19,7.620000,7.728000,7.250000,7.410000,7.410000,28400
2023-07-20,7.270000,7.348000,7.100000,7.150000,7.150000,9600
2023-07-21,7.290000,7.290000,6.710000,6.840000,6.840000,25200
2023-07-24,6.760000,6.810000,6.400000,6.510000,6.510000,31400
2023-07-25,6.510000,6.760000,6.403000,6.560000,6.560000,15800
2023-07-26,6.505000,6.700000,6.500000,6.690000,6.690000,10200
2023-07-27,6.580000,6.807000,6.300000,6.410000,6.410000,18000
2023-07-28,6.410000,6.690000,6.410000,6.600000,6.600000,11000
2023-07-31,6.520000,7.200000,6.420000,7.200000,7.200000,14700
2023-08-01,7.200000,7.240000,7.020000,7.240000,7.240000,11300
2023-08-02,7.040000,7.230000,6.720000,6.860000,6.860000,7400
2023-08-03,7.050000,7.087000,6.601000,6.700000,6.700000,13200
2023-08-04,6.660000,6.969000,6.600000,6.710000,6.710000,5600
2023-08-07,6.710000,6.752000,5.910000,6.450000,6.450000,27600
2023-08-08,6.270000,6.470000,6.270000,6.440000,6.440000,10500
2023-08-09,6.285000,6.288000,6.130000,6.150000,6.150000,7200
2023-08-10,6.100000,6.640000,6.100000,6.380000,6.380000,19300
2023-08-11,6.310000,6.750000,6.310000,6.700000,6.700000,7900
2023-08-14,6.710000,6.710000,6.350000,6.549000,6.549000,12100
2023-08-15,6.250000,6.700000,6.250000,6.410000,6.410000,5300
2023-08-16,6.220000,6.640000,6.110000,6.170000,6.170000,12900
2023-08-17,6.590000,6.680000,6.190000,6.680000,6.680000,9200
2023-08-18,6.620000,7.085000,6.445000,6.990000,6.990000,11100
2023-08-21,6.800000,6.850000,6.322000,6.670000,6.670000,7300
2023-08-22,6.413000,6.770000,6.413000,6.460000,6.460000,3100
2023-08-23,6.460000,6.870000,6.437000,6.685000,6.685000,4000
2023-08-24,6.490000,6.930000,6.471000,6.510000,6.510000,5100
2023-08-25,6.520000,6.940000,6.520000,6.800000,6.800000,13800
2023-08-28,6.650000,6.950000,6.650000,6.770000,6.770000,5700
2023-08-29,6.750000,7.160000,6.750000,7.140000,7.140000,11000
