Date,Open,High,Low,Close,Adj Close,Volume
2023-03-09,0.462900,0.468900,0.460600,0.462300,0.462300,7454430
2023-03-10,0.455000,0.457700,0.444000,0.445200,0.445200,11433276
2023-03-13,0.448500,0.456600,0.430100,0.435400,0.435400,14021257
2023-03-14,0.435000,0.442700,0.431000,0.439400,0.439400,4768320
2023-03-15,0.439400,0.449600,0.420100,0.425400,0.425400,9382471
2023-03-16,0.430000,0.436800,0.427200,0.434600,0.434600,3657125
2023-03-17,0.440000,0.444300,0.420000,0.420000,0.420000,9641625
2023-03-20,0.420000,0.428900,0.416500,0.424400,0.424400,11200010
2023-03-21,0.424400,0.429000,0.418600,0.421400,0.421400,4680282
2023-03-22,0.421000,0.421500,0.415000,0.415400,0.415400,5504203
2023-03-23,0.415400,0.420000,0.415000,0.420000,0.420000,2781677
2023-03-24,0.420000,0.420100,0.410000,0.410000,0.410000,10185502
2023-03-27,0.410000,0.413400,0.405300,0.406400,0.406400,7642058
2023-03-28,0.406000,0.407800,0.400000,0.400000,0.400000,10374439
2023-03-29,0.400000,0.401800,0.395000,0.395300,0.395300,11012173
2023-03-30,0.395300,0.401700,0.395300,0.399300,0.399300,6668445
2023-03-31,0.400000,0.412600,0.397000,0.400000,0.400000,8745487
2023-04-03,0.401500,0.414100,0.398000,0.400600,0.400600,6781250
2023-04-04,0.400600,0.405000,0.398100,0.398100,0.398100,5120594
2023-04-05,0.398500,0.403100,0.397000,0.398500,0.398500,7284296
2023-04-06,0.399100,0.410000,0.387000,0.387000,0.387000,20410143
2023-04-11,0.387000,0.387000,0.331600,0.350000,0.350000,49767881
2023-04-12,0.311500,0.311500,0.224800,0.260000,0.260000,153059161
2023-04-13,0.260000,0.260000,0.210000,0.216000,0.216000,111878110
2023-04-14,0.216000,0.250000,0.202200,0.235800,0.235800,98308732
2023-04-17,0.255000,0.323200,0.251900,0.306100,0.306100,124843337
2023-04-18,0.325800,0.348000,0.308900,0.320200,0.320200,90169314
2023-04-19,0.321000,0.332700,0.288900,0.319000,0.319000,39162443
2023-04-20,0.313500,0.313500,0.288500,0.291200,0.291200,25315710
2023-04-21,0.276000,0.283600,0.255600,0.264800,0.264800,34424874
2023-04-24,0.264800,0.282200,0.264800,0.270000,0.270000,13576780
2023-04-25,0.270000,0.279000,0.262600,0.265000,0.265000,11191463
2023-04-26,0.264100,0.274500,0.261200,0.262100,0.262100,13104607
2023-04-27,0.262100,0.270000,0.255000,0.267300,0.267300,16605076
2023-04-28,0.268200,0.275000,0.260100,0.267800,0.267800,14847638
2023-05-02,0.267900,0.280000,0.267900,0.280000,0.280000,11151396
2023-05-03,0.280000,0.345600,0.272100,0.303800,0.303800,82720877
2023-05-04,0.305000,0.318500,0.295100,0.318100,0.318100,21797659
2023-05-05,0.319000,0.325900,0.307700,0.321700,0.321700,18284385
2023-05-08,0.322000,0.328400,0.311700,0.319100,0.319100,10568033
2023-05-09,0.319100,0.327000,0.311400,0.312000,0.312000,14025550
2023-05-10,0.312000,0.324500,0.283000,0.292400,0.292400,27279234
2023-05-11,0.290000,0.292400,0.270100,0.283900,0.283900,18292322
2023-05-12,0.285300,0.301700,0.280800,0.294900,0.294900,11774166
2023-05-15,0.296100,0.299900,0.288500,0.292500,0.292500,8075843
2023-05-16,0.319000,0.328000,0.306400,0.313800,0.313800,32286423
2023-05-17,0.319900,0.319900,0.308100,0.315000,0.315000,2923692
2023-05-19,0.319800,0.320500,0.311200,0.312900,0.312900,10767238
2023-05-22,0.312900,0.322700,0.311200,0.317500,0.317500,6825317
2023-05-23,0.318000,0.326600,0.316700,0.326200,0.326200,16395343
2023-05-24,0.326200,0.328800,0.315200,0.316600,0.316600,8103825
2023-05-25,0.317100,0.327000,0.313900,0.323100,0.323100,7289876
2023-05-26,0.323100,0.348700,0.320300,0.341100,0.341100,25332133
2023-05-29,0.341800,0.396000,0.341800,0.375100,0.375100,33983559
2023-05-30,0.374900,0.450000,0.346300,0.415000,0.415000,59886123
2023-05-31,0.418300,0.450000,0.354200,0.389900,0.389900,60947929
2023-06-01,0.343400,0.384500,0.331100,0.343400,0.343400,46498820
2023-06-02,0.344000,0.351500,0.312300,0.333000,0.333000,41953028
2023-06-05,0.333000,0.360000,0.333000,0.345400,0.345400,17527649
2023-06-07,0.345400,0.359100,0.332500,0.349200,0.349200,13944147
2023-06-08,0.349200,0.355000,0.340900,0.344100,0.344100,9118212
2023-06-09,0.350000,0.361800,0.346000,0.360200,0.360200,14699250
2023-06-12,0.360400,0.417800,0.360400,0.410000,0.410000,61426168
2023-06-13,0.420000,0.442000,0.403000,0.420000,0.420000,38422739
2023-06-14,0.420500,0.433600,0.402800,0.404600,0.404600,15516762
2023-06-15,0.404600,0.405400,0.391800,0.392900,0.392900,7568011
2023-06-16,0.392900,0.411000,0.390000,0.398000,0.398000,10806835
2023-06-19,0.400000,0.405400,0.385500,0.395000,0.395000,12949539
2023-06-20,0.389600,0.391500,0.378000,0.382000,0.382000,9399978
2023-06-21,0.382000,0.388100,0.365000,0.375000,0.375000,14275456
2023-06-22,0.370000,0.405700,0.362900,0.380000,0.380000,12442119
2023-06-26,0.378000,0.378000,0.363000,0.375000,0.375000,14249047
2023-06-27,0.375000,0.380000,0.362000,0.367400,0.367400,8790037
2023-06-28,0.367500,0.375900,0.366700,0.368300,0.368300,5019480
2023-06-29,0.368300,0.379900,0.364000,0.371100,0.371100,10287424
2023-06-30,0.371200,0.377400,0.368100,0.370600,0.370600,5240591
2023-07-03,0.370600,0.374000,0.361400,0.368000,0.368000,5666510
2023-07-04,0.368600,0.371800,0.362900,0.369000,0.369000,10027903
2023-07-05,0.369000,0.375000,0.364700,0.367100,0.367100,5146919
2023-07-06,0.367100,0.370000,0.362000,0.368300,0.368300,5517838
2023-07-07,0.368300,0.379400,0.368300,0.374000,0.374000,8786427
2023-07-10,0.374000,0.375600,0.366000,0.368000,0.368000,5748855
2023-07-11,0.369100,0.381000,0.362100,0.365200,0.365200,7381493
2023-07-12,0.366200,0.366400,0.358000,0.362100,0.362100,6338303
2023-07-13,0.360000,0.364200,0.357100,0.359600,0.359600,3078527
2023-07-14,0.359000,0.362800,0.355000,0.359200,0.359200,4503212
2023-07-17,0.359200,0.362300,0.353700,0.356800,0.356800,4334493
2023-07-18,0.356700,0.359000,0.353200,0.356100,0.356100,3389667
2023-07-19,0.356100,0.362300,0.356100,0.356300,0.356300,2662730
2023-07-20,0.362000,0.362000,0.349100,0.351500,0.351500,8499892
2023-07-21,0.344900,0.355000,0.344900,0.348000,0.348000,4675841
2023-07-24,0.345200,0.358500,0.341000,0.353200,0.353200,4664011
2023-07-25,0.354000,0.358400,0.348900,0.357500,0.357500,6851175
2023-07-26,0.360000,0.454700,0.354900,0.391800,0.391800,99585599
2023-07-27,0.396800,0.409000,0.385200,0.385200,0.385200,17888078
2023-07-28,0.385200,0.389700,0.380000,0.382000,0.382000,8017433
2023-07-31,0.382000,0.392000,0.380000,0.386600,0.386600,8213879
2023-08-01,0.386600,0.412700,0.383400,0.395100,0.395100,11371835
2023-08-02,0.400000,0.400000,0.390200,0.391900,0.391900,4093038
2023-08-03,0.390000,0.398700,0.370200,0.375700,0.375700,16424768
2023-08-04,0.375000,0.385800,0.369100,0.385000,0.385000,7502702
2023-08-07,0.390000,0.405000,0.384000,0.384100,0.384100,17793696
2023-08-08,0.384100,0.388500,0.374700,0.378500,0.378500,7823690
2023-08-09,0.380800,0.391600,0.379700,0.383500,0.383500,4117529
2023-08-10,0.384500,0.386100,0.377700,0.378600,0.378600,7904044
2023-08-11,0.378500,0.382000,0.373500,0.375200,0.375200,5487430
2023-08-14,0.375200,0.379900,0.364600,0.372000,0.372000,6159094
2023-08-15,0.370600,0.370600,0.361100,0.365100,0.365100,3185821
2023-08-16,0.365100,0.373400,0.360000,0.364200,0.364200,3552446
2023-08-17,0.361500,0.367000,0.355000,0.358100,0.358100,5809896
2023-08-18,0.358100,0.360700,0.352100,0.352100,0.352100,4632508
2023-08-21,0.352300,0.360000,0.350000,0.352100,0.352100,3879478
2023-08-22,0.353300,0.356500,0.350000,0.352000,0.352000,3702951
2023-08-23,0.353000,0.355500,0.350100,0.351000,0.351000,2486175
