Date,Open,High,Low,Close,Adj Close,Volume
2013-03-05,127.699997,127.900002,125.699997,126.800003,64.216812,2122611
2013-03-06,126.800003,127.300003,125.900002,125.900002,63.761024,1232224
2013-03-07,127.300003,127.500000,124.900002,124.900002,63.254578,1071893
2013-03-08,125.400002,126.400002,125.300003,125.400002,63.507797,972529
2013-03-11,125.400002,126.699997,125.199997,126.500000,64.064888,1142540
2013-03-12,126.199997,126.699997,125.699997,126.300003,63.963593,1280281
2013-03-13,126.800003,126.900002,124.599998,125.000000,63.305233,1209403
2013-03-14,125.500000,127.199997,124.699997,127.000000,64.318115,2221682
2013-03-15,128.500000,129.000000,125.699997,125.900002,63.761024,3142160
2013-03-18,125.000000,127.000000,124.900002,126.300003,63.963593,1437808
2013-03-19,127.000000,128.699997,126.400002,126.599998,64.115547,1575801
2013-03-20,127.199997,128.399994,127.199997,128.000000,64.824562,1499973
2013-03-21,128.600006,128.699997,126.500000,126.800003,64.216812,1992849
2013-03-22,127.000000,129.399994,126.900002,128.399994,65.027122,1618931
2013-03-25,129.000000,129.199997,128.100006,128.500000,65.077759,945289
2013-03-26,129.199997,129.199997,126.699997,128.300003,64.976479,1208980
2013-03-27,128.699997,128.800003,126.900002,127.900002,64.773895,1387719
2013-04-02,128.600006,128.800003,127.800003,128.600006,65.128418,1968523
2013-04-03,127.699997,129.399994,127.199997,129.000000,65.330994,1529432
2013-04-04,128.500000,129.199997,127.099998,127.900002,64.773895,1691378
2013-04-05,127.900002,127.900002,124.400002,125.000000,63.305233,1553799
2013-04-08,125.099998,126.000000,124.099998,125.900002,63.761024,1155679
2013-04-09,127.400002,128.000000,125.599998,126.199997,63.912952,1288643
2013-04-10,126.300003,127.699997,126.300003,127.400002,64.520676,1442565
2013-04-11,127.500000,128.100006,127.300003,127.800003,64.723251,1046376
2013-04-12,127.800003,128.100006,127.000000,127.900002,64.773895,1105195
2013-04-15,127.900002,128.100006,127.199997,128.000000,64.824562,1553416
2013-04-16,127.900002,128.100006,127.400002,127.800003,64.723251,1679849
2013-04-17,128.300003,128.399994,126.400002,126.400002,64.014236,1589098
2013-04-18,126.500000,128.000000,126.500000,128.000000,64.824562,1442072
2013-04-19,128.800003,129.500000,127.699997,129.199997,65.432274,1345107
2013-04-22,129.500000,129.500000,128.699997,129.000000,65.330994,1198390
2013-04-23,128.800003,130.100006,128.699997,129.399994,65.533569,1723678
2013-04-24,129.100006,130.000000,128.899994,129.699997,65.685493,2190103
2013-04-25,131.399994,131.800003,129.699997,130.600006,66.141296,2068237
2013-04-26,128.300003,130.100006,126.599998,130.000000,65.837440,2198781
2013-04-29,129.000000,130.399994,128.899994,129.699997,65.685493,1071666
2013-04-30,129.699997,130.100006,128.800003,129.600006,65.634850,1637482
2013-05-02,129.800003,131.100006,129.300003,129.500000,65.584221,1957014
2013-05-03,130.899994,131.600006,129.399994,131.600006,66.647736,1603480
2013-05-06,131.899994,133.000000,131.199997,132.000000,66.850311,1545556
2013-05-07,130.600006,131.100006,129.899994,130.199997,65.938721,2101783
2013-05-08,131.000000,132.500000,130.800003,131.800003,66.749016,1695960
2013-05-10,132.199997,132.899994,132.000000,132.699997,67.204819,1760964
2013-05-13,133.300003,133.699997,132.300003,133.699997,67.711266,1465729
2013-05-14,132.899994,133.100006,131.300003,132.800003,67.255478,1905872
2013-05-15,132.699997,133.399994,131.800003,133.399994,67.559334,1889244
2013-05-16,127.099998,128.199997,126.500000,127.500000,67.612358,1874246
2013-05-21,128.899994,129.800003,128.000000,128.199997,67.983559,2061110
2013-05-22,128.399994,128.899994,127.500000,127.800003,67.771446,1187728
2013-05-23,126.199997,126.699997,124.800003,125.699997,66.657837,2053137
2013-05-24,126.599998,127.500000,125.800003,127.500000,67.612358,2052301
2013-05-27,128.399994,128.399994,126.699997,127.599998,67.665398,890385
2013-05-28,127.300003,128.300003,127.199997,127.800003,67.771446,1550931
